30,連鎖店,早餐,拉亞漢堡,臺中大墩十九店,西屯區,04-23274479,臺中市西屯區大墩十九街208號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
31,連鎖店,早餐,拉亞漢堡,臺中中工店,西屯區,04-23508547,臺中市西屯區中工三路81號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
32,連鎖店,早餐,拉亞漢堡,臺中中科店,西屯區,04-24610050,臺中市西屯區西屯路三段166-17號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
33,連鎖店,早餐,拉亞漢堡,臺中友達店,西屯區,04-24608800#4160,臺中市西屯區中部科學園區-友達光電,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
34,連鎖店,早餐,拉亞漢堡,臺中文華店,西屯區,04-27063911,臺中市西屯區文華路152號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
35,連鎖店,早餐,拉亞漢堡,臺中甘肅店,西屯區,04-23163095,臺中市西屯區甘肅路1段21號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
36,連鎖店,早餐,拉亞漢堡,臺中成都店,西屯區,04-23110810,臺中市西屯區成都路225號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
37,連鎖店,早餐,拉亞漢堡,臺中寧夏店,西屯區,04-23163803,臺中市西屯區寧夏路212號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
38,連鎖店,早餐,拉亞漢堡,大墩十二店店,南屯區,04-22524888,臺中市南屯區大墩十二街640號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
39,連鎖店,早餐,拉亞漢堡,臺中大業店,南屯區,04-22523990,臺中市南屯區大業路590號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
40,連鎖店,早餐,拉亞漢堡,臺中大墩店,南屯區,04-24733386,臺中市南屯區大墩六街271號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
41,連鎖店,早餐,拉亞漢堡,臺中向上店,南屯區,04-24714633,臺中市南屯區向上南路1段207號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
42,連鎖店,早餐,拉亞漢堡,臺中忠勇店,南屯區,04-23805787,臺中市南屯區忠勇路62號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
43,連鎖店,早餐,拉亞漢堡,臺中南屯店,南屯區,04-24751217,臺中市南屯區南屯路2段206號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
44,連鎖店,早餐,拉亞漢堡,臺中海得堡店,南屯區,04-24754183,臺中市南屯區向心南路936號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
45,連鎖店,早餐,拉亞漢堡,臺中萬和店,南屯區,04-23813907,臺中市南屯區黎明路一段1022號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
